service_id,date,exception_type
292.1899.4,20240311,1
292.133.4,20240312,1
292.1899.4,20240312,1
292.133.4,20240313,1
292.1899.4,20240313,1
292.133.4,20240314,1
292.1899.4,20240314,1
292.133.4,20240315,1
292.1899.4,20240315,1
292.2769.4,20240315,1
292.1900.2,20240316,1
292.2473.2,20240316,1
292.1948.3,20240317,1
292.133.4,20240318,1
292.1936.4,20240318,1
292.133.4,20240319,1
292.1899.4,20240319,1
292.133.4,20240320,1
292.1899.4,20240320,1
292.133.4,20240321,1
292.1899.4,20240321,1
292.133.4,20240322,1
292.1899.4,20240322,1
292.2769.4,20240322,1
292.1900.2,20240323,1
292.2473.2,20240323,1
292.1948.3,20240324,1
292.133.4,20240325,1
292.133.4,20240326,1
292.133.4,20240327,1
292.133.4,20240328,1
292.133.4,20240329,1
292.2769.4,20240329,1
292.2473.2,20240330,1
292.133.4,20240401,1
292.133.4,20240402,1
292.133.4,20240403,1
292.133.4,20240404,1
292.133.4,20240405,1
292.2769.4,20240405,1
292.133.4,20240408,1
292.133.4,20240409,1
292.133.4,20240410,1
292.133.4,20240411,1
292.133.4,20240412,1
292.2769.4,20240412,1
